id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-02-07 03:48:16,"{""short_code"":""LsFb0m"",""original_url"":""https://example.com/silver/yard/1""}"
2,2,49,created,2025-09-13 08:27:34,"{""short_code"":""ms5C23"",""original_url"":""https://seeded.app/clear/network/2""}"
3,3,191,created,2025-08-06 01:36:33,"{""short_code"":""xCpWA3"",""original_url"":""https://seeded.app/quiet/orbit/3""}"
4,4,382,created,2025-12-09 03:44:26,"{""short_code"":""Ld0IsR"",""original_url"":""https://seeded.app/rapid/uplink/4""}"
5,5,230,created,2025-08-06 17:05:41,"{""short_code"":""oodfqY"",""original_url"":""https://seeded.app/harbor/kernel/5""}"
6,6,327,created,2025-01-13 15:42:50,"{""short_code"":""C9cUjm"",""original_url"":""https://relay.cloud/opal/field/6""}"
7,7,5,created,2026-01-22 06:55:01,"{""short_code"":""OAHz67"",""original_url"":""https://opswise.net/silver/trail/7""}"
8,8,228,created,2025-10-30 06:18:56,"{""short_code"":""29ivG2"",""original_url"":""https://example.com/gold/garden/8""}"
9,9,329,created,2025-01-13 23:14:07,"{""short_code"":""viqDrG"",""original_url"":""https://opswise.net/vivid/pioneer/9""}"
10,10,195,created,2025-11-05 02:46:09,"{""short_code"":""T9N9pg"",""original_url"":""https://relay.cloud/lively/pioneer/10""}"
11,11,224,created,2025-08-10 02:13:28,"{""short_code"":""GfcBf5"",""original_url"":""https://example.com/quiet/yard/11""}"
12,12,232,created,2025-10-01 22:35:33,"{""short_code"":""mNhSjf"",""original_url"":""https://acme.dev/vivid/pioneer/12""}"
13,13,218,created,2025-02-16 01:28:43,"{""short_code"":""CThnnh"",""original_url"":""https://opswise.net/jade/kernel/13""}"
14,14,185,created,2025-05-23 14:08:15,"{""short_code"":""85DsRK"",""original_url"":""https://seeded.app/harbor/uplink/14""}"
15,15,79,created,2026-02-05 15:57:34,"{""short_code"":""gJXPsb"",""original_url"":""https://opswise.net/silver/trail/15""}"
16,16,186,created,2025-09-28 23:22:53,"{""short_code"":""5B1eAt"",""original_url"":""https://acme.dev/vivid/lagoon/16""}"
17,17,276,created,2025-03-22 07:27:07,"{""short_code"":""Lm5mtW"",""original_url"":""https://opswise.net/calm/yard/17""}"
18,18,307,created,2025-12-08 06:35:17,"{""short_code"":""Y3pGmH"",""original_url"":""https://hackstack.io/ember/orbit/18""}"
19,19,379,created,2025-02-23 18:54:49,"{""short_code"":""WmkLyo"",""original_url"":""https://acme.dev/ivory/beacon/19""}"
20,20,282,created,2025-03-23 20:05:39,"{""short_code"":""TWf9r0"",""original_url"":""https://opswise.net/harbor/quartz/20""}"
21,21,62,created,2025-11-12 17:07:11,"{""short_code"":""3cLISz"",""original_url"":""https://seeded.app/brisk/beacon/21""}"
22,22,313,created,2025-11-18 18:55:17,"{""short_code"":""xbj63j"",""original_url"":""https://acme.dev/urban/window/22""}"
23,23,297,created,2025-12-12 12:49:43,"{""short_code"":""sCZwLp"",""original_url"":""https://seeded.app/silver/beacon/23""}"
24,24,261,created,2025-06-14 14:30:15,"{""short_code"":""sQ8D0F"",""original_url"":""https://seeded.app/jade/yard/24""}"
25,25,232,created,2025-05-21 19:51:15,"{""short_code"":""3OmU68"",""original_url"":""https://relay.cloud/dawn/harvest/25""}"
26,26,94,created,2025-10-14 19:29:06,"{""short_code"":""h4N2Q7"",""original_url"":""https://seeded.app/forest/field/26""}"
27,27,162,created,2025-08-17 02:22:55,"{""short_code"":""7FnELq"",""original_url"":""https://example.com/clear/window/27""}"
28,28,364,created,2025-01-25 05:06:40,"{""short_code"":""ImTbmP"",""original_url"":""https://example.com/quiet/valley/28""}"
29,29,290,created,2025-03-11 06:00:46,"{""short_code"":""v6nWMf"",""original_url"":""https://example.com/jade/meadow/29""}"
30,30,359,created,2025-12-06 05:21:07,"{""short_code"":""tAdQYr"",""original_url"":""https://relay.cloud/ember/pioneer/30""}"
31,31,261,created,2026-01-24 19:44:05,"{""short_code"":""OuGzo8"",""original_url"":""https://acme.dev/forest/quartz/31""}"
32,32,47,created,2026-01-31 21:05:38,"{""short_code"":""ABciWk"",""original_url"":""https://acme.dev/mellow/uplink/32""}"
33,33,382,created,2025-11-11 06:02:48,"{""short_code"":""qJMfjW"",""original_url"":""https://hackstack.io/clear/trail/33""}"
34,34,93,created,2025-08-22 19:31:39,"{""short_code"":""iif1Qe"",""original_url"":""https://seeded.app/opal/garden/34""}"
35,35,204,created,2025-05-11 17:12:28,"{""short_code"":""3hBHzZ"",""original_url"":""https://acme.dev/opal/field/35""}"
36,36,15,created,2025-12-03 14:58:05,"{""short_code"":""5iL3P8"",""original_url"":""https://hackstack.io/calm/zenith/36""}"
37,37,231,created,2025-07-25 15:06:12,"{""short_code"":""qXdHXz"",""original_url"":""https://example.com/opal/network/37""}"
38,38,301,created,2025-06-16 15:24:05,"{""short_code"":""EvHhEk"",""original_url"":""https://acme.dev/jade/kernel/38""}"
39,39,84,created,2025-10-04 02:38:34,"{""short_code"":""2wGzX0"",""original_url"":""https://hackstack.io/warm/orbit/39""}"
40,40,273,created,2025-01-25 10:22:19,"{""short_code"":""h5zpnJ"",""original_url"":""https://relay.cloud/opal/signal/40""}"
41,41,296,created,2025-06-24 15:44:43,"{""short_code"":""pD3Pmk"",""original_url"":""https://example.com/harbor/beacon/41""}"
42,42,123,created,2026-01-19 22:08:29,"{""short_code"":""N9pXx3"",""original_url"":""https://relay.cloud/forest/harvest/42""}"
43,43,9,created,2025-12-21 08:08:57,"{""short_code"":""Qq4c1y"",""original_url"":""https://relay.cloud/jade/canyon/43""}"
44,44,32,created,2025-05-19 09:21:27,"{""short_code"":""HXmPB4"",""original_url"":""https://opswise.net/vivid/signal/44""}"
45,45,230,created,2025-05-26 17:19:41,"{""short_code"":""p2ioVj"",""original_url"":""https://seeded.app/quiet/journey/45""}"
46,46,300,created,2025-06-05 15:58:19,"{""short_code"":""DS04zW"",""original_url"":""https://opswise.net/tidy/quartz/46""}"
47,47,230,created,2025-08-23 19:38:53,"{""short_code"":""TdpEyB"",""original_url"":""https://example.com/ember/lagoon/47""}"
48,48,94,created,2025-09-09 19:44:43,"{""short_code"":""Bdk52m"",""original_url"":""https://relay.cloud/ivory/valley/48""}"
49,49,164,created,2026-02-08 02:07:18,"{""short_code"":""LTySP4"",""original_url"":""https://seeded.app/silver/garden/49""}"
50,50,20,created,2025-05-16 23:33:22,"{""short_code"":""UKqVge"",""original_url"":""https://example.com/opal/engine/50""}"
51,51,247,created,2025-07-23 23:27:52,"{""short_code"":""Ew615L"",""original_url"":""https://acme.dev/ember/river/51""}"
52,52,66,created,2025-04-06 08:21:58,"{""short_code"":""3TZDD3"",""original_url"":""https://opswise.net/ivory/lagoon/52""}"
53,53,325,created,2025-12-12 12:57:00,"{""short_code"":""P3pZfB"",""original_url"":""https://seeded.app/harbor/orbit/53""}"
54,54,205,created,2025-11-29 11:29:58,"{""short_code"":""7oyurQ"",""original_url"":""https://seeded.app/amber/trail/54""}"
55,55,281,created,2025-11-08 04:46:26,"{""short_code"":""523AtS"",""original_url"":""https://relay.cloud/clear/garden/55""}"
56,56,301,created,2025-04-25 20:53:39,"{""short_code"":""UxWwRJ"",""original_url"":""https://example.com/clear/uplink/56""}"
57,57,352,created,2025-06-14 05:36:47,"{""short_code"":""upRjnr"",""original_url"":""https://acme.dev/calm/window/57""}"
58,58,4,created,2025-07-07 22:38:04,"{""short_code"":""NNZDM6"",""original_url"":""https://example.com/lively/yard/58""}"
59,59,344,created,2025-04-19 08:46:56,"{""short_code"":""HWi6iY"",""original_url"":""https://relay.cloud/tidy/field/59""}"
60,60,272,created,2025-03-09 08:53:35,"{""short_code"":""AkW4vT"",""original_url"":""https://acme.dev/ivory/delta/60""}"
61,61,314,created,2025-03-31 22:18:25,"{""short_code"":""Xv0PhN"",""original_url"":""https://example.com/navy/canyon/61""}"
62,62,298,created,2025-01-15 09:07:48,"{""short_code"":""2tiyzj"",""original_url"":""https://seeded.app/tidy/engine/62""}"
63,63,392,created,2025-01-01 03:59:01,"{""short_code"":""znjLvH"",""original_url"":""https://seeded.app/forest/trail/63""}"
64,64,167,created,2026-01-20 04:17:59,"{""short_code"":""PkDxyN"",""original_url"":""https://relay.cloud/jade/river/64""}"
65,65,167,created,2025-01-22 20:30:19,"{""short_code"":""lezdnH"",""original_url"":""https://seeded.app/opal/yard/65""}"
66,66,60,created,2025-04-01 20:45:57,"{""short_code"":""FCFLKL"",""original_url"":""https://opswise.net/mellow/network/66""}"
67,67,38,created,2025-08-04 12:49:27,"{""short_code"":""CLDs1a"",""original_url"":""https://relay.cloud/forest/meadow/67""}"
68,68,270,created,2025-06-10 11:44:50,"{""short_code"":""xSpfom"",""original_url"":""https://hackstack.io/lively/quartz/68""}"
69,69,81,created,2025-01-29 01:58:43,"{""short_code"":""hANjTX"",""original_url"":""https://seeded.app/clear/delta/69""}"
70,70,313,created,2025-01-14 21:02:23,"{""short_code"":""HJh8iw"",""original_url"":""https://acme.dev/gold/river/70""}"
71,71,157,created,2025-05-11 17:08:56,"{""short_code"":""d1zLWb"",""original_url"":""https://example.com/clear/yard/71""}"
72,72,77,created,2025-05-08 18:55:11,"{""short_code"":""2j3xvM"",""original_url"":""https://seeded.app/harbor/orbit/72""}"
73,73,323,created,2025-02-05 00:26:42,"{""short_code"":""D9mEHP"",""original_url"":""https://example.com/calm/kernel/73""}"
74,74,354,created,2025-05-19 08:30:16,"{""short_code"":""on652x"",""original_url"":""https://relay.cloud/silver/trail/74""}"
75,75,191,created,2025-01-10 13:44:08,"{""short_code"":""k2wopR"",""original_url"":""https://acme.dev/harbor/zenith/75""}"
76,76,359,created,2025-07-08 17:48:03,"{""short_code"":""cTnCTr"",""original_url"":""https://seeded.app/ivory/meadow/76""}"
77,77,78,created,2025-11-30 14:48:33,"{""short_code"":""lP2RC4"",""original_url"":""https://seeded.app/jade/island/77""}"
78,78,21,created,2025-04-08 05:09:13,"{""short_code"":""Rzz8h9"",""original_url"":""https://relay.cloud/amber/harvest/78""}"
79,79,248,created,2025-01-26 09:43:47,"{""short_code"":""3H1eJm"",""original_url"":""https://acme.dev/quiet/valley/79""}"
80,80,252,created,2025-10-08 17:42:46,"{""short_code"":""UwMhlZ"",""original_url"":""https://opswise.net/brisk/engine/80""}"
81,81,53,created,2025-12-12 14:41:16,"{""short_code"":""ioTnQ9"",""original_url"":""https://opswise.net/brisk/valley/81""}"
82,82,140,created,2025-04-17 20:02:45,"{""short_code"":""0NYK0U"",""original_url"":""https://relay.cloud/jade/meadow/82""}"
83,83,290,created,2026-01-05 19:12:46,"{""short_code"":""lqbuMe"",""original_url"":""https://acme.dev/clear/garden/83""}"
84,84,75,created,2025-01-31 18:54:50,"{""short_code"":""cThdlj"",""original_url"":""https://acme.dev/rapid/trail/84""}"
85,85,264,created,2025-09-05 05:27:53,"{""short_code"":""2UamOg"",""original_url"":""https://acme.dev/navy/orbit/85""}"
86,86,48,created,2025-09-23 08:52:55,"{""short_code"":""8gqDTg"",""original_url"":""https://seeded.app/amber/trail/86""}"
87,87,151,created,2025-03-01 06:27:04,"{""short_code"":""MfP0Dw"",""original_url"":""https://seeded.app/urban/journey/87""}"
88,88,291,created,2026-02-06 08:22:01,"{""short_code"":""iFRbyB"",""original_url"":""https://opswise.net/vivid/harvest/88""}"
89,89,33,created,2025-06-11 08:28:24,"{""short_code"":""5bRK85"",""original_url"":""https://opswise.net/proud/valley/89""}"
90,90,4,created,2025-01-12 00:36:38,"{""short_code"":""ZJun5e"",""original_url"":""https://seeded.app/proud/yard/90""}"
91,91,299,created,2025-05-06 15:06:25,"{""short_code"":""Xoasv1"",""original_url"":""https://example.com/opal/window/91""}"
92,92,136,created,2025-04-22 13:01:39,"{""short_code"":""yYS7mj"",""original_url"":""https://relay.cloud/urban/yard/92""}"
93,93,138,created,2025-08-10 17:50:46,"{""short_code"":""W2Xs2T"",""original_url"":""https://opswise.net/harbor/journey/93""}"
94,94,233,created,2025-09-07 06:47:42,"{""short_code"":""lnIg7K"",""original_url"":""https://seeded.app/navy/lagoon/94""}"
95,95,312,created,2026-02-20 02:32:28,"{""short_code"":""IgevSz"",""original_url"":""https://example.com/cobalt/valley/95""}"
